,timestamp,left_elbow_angle
197,19.7197,
198,19.8198,193.92348065116954
199,19.9199,194.53996237893892
200,20.02,193.0949462711613
201,20.1201,194.31971621746055
202,20.2202,192.04537128716063
203,20.3203,190.98423836941294
204,20.4204,191.2961858687596
205,20.5205,191.2294060666682
206,20.6206,189.66535303690378
207,20.7207,190.17951166227806
208,20.8208,189.66549281572918
209,20.9209,189.68027428430284
210,21.021,189.68041840485066
211,21.1211,189.68047289746463
212,21.2212,189.6805536078683
213,21.3213,190.69029460833445
214,21.4214,190.8120639587102
215,21.5215,190.6902356243741
216,21.6216,190.8118965590225
217,21.7217,190.23541309465278
218,21.8218,189.68049355847086
219,21.9219,189.80183727992582
220,22.022,189.80206246319673
221,22.1221,189.6804835797278
222,22.2222,189.6804217850356
223,22.3223,190.25581617225666
224,22.4224,190.25583965103036
225,22.5225,189.8019830265817
226,22.6226,189.20562493141287
227,22.7227,189.20579308650343
228,22.8228,190.25591238324955
229,22.9229,189.6805112248972
230,23.023,189.68054944988666
231,23.1231,189.80209292676471
232,23.2232,189.20584145344318
233,23.3233,189.8020259034567
234,23.4234,193.3831058953686
235,23.5235,193.9607383011121
236,23.6236,199.24206535206352
237,23.7237,207.49911388787663
238,23.8238,212.74779079053053
239,23.9239,249.90149734750986
240,24.024,256.98329811369575
241,24.1241,269.9669798205495
242,24.2242,270.5859265618394
243,24.3243,263.87792782021523
244,24.4244,264.20170875145084
245,24.5245,268.365234722958
246,24.6246,196.6157267013116
247,24.7247,196.63261045883664
248,24.8248,124.47004812229551
249,24.9249,140.80323866009172
250,25.025,15.290569475652603
251,25.1251,
252,25.2252,
253,25.3253,
254,25.4254,19.9460067131507
255,25.5255,111.86247196067396
256,25.6256,99.60589553366304
257,25.7257,43.263292403089395
258,25.8258,34.46770885125733
259,25.9259,34.4678885791692
260,26.026,36.439202284936414
261,26.1261,42.264549841733015
262,26.2262,49.5355687653539
263,26.3263,52.824740697555626
264,26.4264,58.47234410367258
265,26.5265,58.242247768004745
266,26.6266,62.90690215922772
267,26.7267,60.63213604269469
268,26.8268,55.48053176849379
269,26.9269,58.242380097168606
270,27.027,55.96972372172035
271,27.1271,62.906877586727454
272,27.2272,59.915274827093576
273,27.3273,61.884389202997774
274,27.4274,57.640315997613875
275,27.5275,60.000328665260724
276,27.6276,60.632416955589264
277,27.7277,62.90684511114097
278,27.8278,62.907019003316606
279,27.9279,62.90691337989691
280,28.028,62.90713106938615
281,28.1281,62.907135812491774
282,28.2282,65.27794634446153
283,28.3283,62.28616101736754
284,28.4284,67.74303785536452
285,28.5285,62.19555537925209
286,28.6286,59.824526596028164
287,28.7287,58.53857399721725
288,28.8288,59.728678153489895
289,28.9289,58.72891653194711
290,29.029,58.729260165795
291,29.1291,58.728949652731345
292,29.2292,56.75984524538529
293,29.3293,55.69919278112037
294,29.4294,55.69924533871558
295,29.5295,55.699051514760775
296,29.6296,57.65942101396751
